channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,30,rbf,window,30,47,1,15.0,0.3686440677966102,0.0,0.3943220338983051
all,3.0,30,rbf,window,30,48,1,18.75,0.3070968487334277,0.0,0.34104842436671384
all,3.0,30,rbf,window,30,49,2,15.0,0.4457220155563071,0.33333333333333337,0.49952767444482016
all,3.0,30,rbf,window,30,50,1,26.25,0.22721659669054087,0.0,0.25610829834527044
all,3.0,30,rbf,window,30,51,2,15.0,0.421067779536624,0.33333333333333337,0.4872005564349786
all,3.0,30,l2,5,5,42,19,4.309210526315789,0.4140287537876346,0.0,0.4811591137359226
all,3.0,30,l2,5,5,43,18,4.236111111111111,0.42082457146498436,0.0,0.48499561906582545
all,3.0,30,l2,5,5,44,20,4.125,0.43981392977760786,0.0,0.4951569648888039
all,3.0,30,l2,5,5,45,18,5.138888888888889,0.4018352131523609,0.0,0.47008427324284713
all,3.0,30,l2,5,5,46,17,5.220588235294118,0.4525129227128355,0.0,0.49493293194465304
all,3.0,30,l2,5,5,47,18,4.097222222222222,0.46500787401574806,0.0,0.5079206036745407
all,3.0,30,l2,5,5,48,19,3.4210526315789473,0.47136340598074,0.0,0.5151553872008963
all,3.0,30,l2,5,5,49,19,3.4210526315789473,0.4332409257945974,0.0,0.496094147107825
all,3.0,30,l2,5,5,50,20,3.25,0.42023346303501946,0.0,0.49061673151750973
all,3.0,30,l2,5,5,51,20,3.5,0.4332409257945974,0.0,0.49562046289729866
all,3.0,30,l2,10,10,42,8,3.4375,0.7304424099555945,0.0,0.6445962049777972
all,3.0,30,l2,10,10,43,10,6.5,0.5283151600422089,0.0,0.5251575800211045
all,3.0,30,l2,10,10,44,11,6.363636363636363,0.5295204051236223,0.0,0.5265783843799929
all,3.0,30,l2,10,10,45,10,4.75,0.5632547778168602,0.0,0.55312738890843
all,3.0,30,l2,10,10,46,8,6.25,0.5566942148760331,0.0,0.5408471074380166
all,3.0,30,l2,10,10,47,10,3.625,0.6475102417633143,0.0,0.6020051208816571
all,3.0,30,l2,10,10,48,10,5.375,0.5632547778168602,0.0,0.5493773889084301
all,3.0,30,l2,10,10,49,11,6.363636363636363,0.5295204051236223,0.0,0.5265783843799929
all,3.0,30,l2,10,10,50,10,5.375,0.5807245867041857,0.0,0.5581122933520928
all,3.0,30,l2,10,10,51,10,3.875,0.6475102417633143,0.0,0.6005051208816572
