channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
importance,3.0,20,l2,window,0.7674145086242997,0.14254678056746045,0.6901790172485994,0.15863988612656657,6.279166666666667,3.9840562841542093,3.6,0.8432740427115677
fit_quality,7.0,20,l2,window,0.7640117879366214,0.12347306314813178,0.6966069092065761,0.14175890204191216,6.270833333333334,3.391292976956658,3.9,0.9944289260117534
residuals,5.0,20,l2,window,0.7458304911859062,0.07178922436746023,0.6469276490384791,0.09220590015708847,7.383333333333335,2.1724282368917147,3.7,0.6749485577105528
r2_resid,7.0,20,l2,window,0.7448646712263567,0.08183974323717078,0.6658126757860469,0.10175110210112982,6.895833333333333,2.18415749923889,3.9,0.9944289260117533
importance,4.0,20,l2,window,0.7418760228207189,0.1788825513475091,0.6644353789747711,0.19570923108080449,7.279166666666667,5.34655659637786,3.5,0.97182531580755
fit_quality,8.0,20,l2,window,0.7359370875393223,0.12230201869703773,0.6626408417453112,0.13867114526879964,7.008333333333333,3.282353209603225,3.6,0.9660917830792958
residuals,6.0,20,l2,window,0.7207651289890578,0.09930313057668173,0.6294635913114488,0.10903961854178905,7.883333333333335,2.7109175705052477,3.5,0.8498365855987975
r2_resid,8.0,20,l2,window,0.7161352061350945,0.13348957523824928,0.6330870789368557,0.14938484076959857,7.845833333333334,3.963571096036165,3.6,1.07496769977314
importance,3.0,15,l2,window,0.6982244276185695,0.0833690781031089,0.6283555219038057,0.09953403340620424,7.1033333333333335,2.787032361260997,4.9,0.9944289260117531
r2_resid,8.0,30,l2,10,0.6942106613335538,0.10524414407802515,0.6299356083813932,0.09117552870069447,6.792857142857143,2.0507136391586203,4.8,1.398411797560202
residuals,6.0,30,l2,10,0.693136862699134,0.1080118225765716,0.5814570587316015,0.11240721134803197,8.4875,2.6206276048324524,3.5,0.97182531580755
fit_quality,8.0,30,l2,10,0.6911238962564121,0.11286671780020396,0.635266840131872,0.10136498319938306,6.64047619047619,2.466491229895297,5.0,1.699673171197595
r2_only,5.0,20,l2,10,0.6897648752311021,0.06813724676616682,0.5396130837955374,0.09880722521311432,8.895833333333334,2.1450353604383467,3.8,0.6324555320336759
residuals,5.0,30,l2,10,0.6876320439715775,0.09252625070646762,0.5685974212764883,0.10083338638977349,8.333333333333332,2.4000868039857783,4.1,1.1005049346146119
fit_quality,7.0,30,l2,10,0.686893038986382,0.09545214336517463,0.6354884589251449,0.0813755825657802,6.252976190476191,1.7513475402464056,5.3,1.5670212364724212
r2_resid,7.0,15,l2,window,0.6868288637497416,0.0806274616862697,0.6080443941661499,0.09987402702113242,7.3100000000000005,2.179901883622798,4.9,0.9944289260117535
r2_resid,7.0,30,l2,10,0.6866660445733035,0.0905501729531239,0.6473820891466071,0.08069264001741319,6.170833333333333,1.5734466008477457,5.3,1.2516655570345725
all,3.0,25,l2,window,0.6851936246933095,0.08064535977472831,0.5849039160532856,0.07903296660349689,8.9875,2.778336749314704,3.2,0.42163702135578396
all,4.0,25,l2,window,0.6851936246933095,0.08064535977472831,0.5849039160532856,0.07903296660349689,8.9875,2.778336749314704,3.2,0.42163702135578396
r2_resid,8.0,15,l2,window,0.6809214978725184,0.08620735010842877,0.5799529957450369,0.09778292438938907,8.175833333333333,2.429501199885877,4.5,1.0801234497346435
residuals,5.0,15,l2,window,0.6805801258055962,0.05564616294511415,0.6073602516111924,0.0837675641089034,7.183333333333333,2.1084120172698464,4.8,1.1352924243950937
r2_only,3.0,20,l2,window,0.6794890131839717,0.09612865199112967,0.5950613597012767,0.08551718325391142,8.5625,2.724223329118518,3.0,0.6666666666666666
r2_resid,6.0,15,l2,window,0.6743753139143056,0.07778025514097145,0.6182272944952778,0.10058187193473031,6.900833333333334,2.133645991266917,5.2,1.0327955589886444
residuals,6.0,15,l2,window,0.6726489056633501,0.11640072346109373,0.5815811446600336,0.13739538361215084,8.579166666666667,4.405652321341666,4.2,1.2292725943057181
residuals,7.0,30,l2,5,0.672345753596818,0.10726542057133072,0.5598081738603026,0.13280243624434418,9.0375,3.060189037370803,3.8,1.1352924243950933
residuals,7.0,15,l2,window,0.6714865525019411,0.12035520854111847,0.5307397716705488,0.10825868462891716,10.091666666666667,3.6921358701909415,3.5,0.7071067811865474
r2_only,6.0,20,l2,10,0.6710570587218757,0.09333384769467408,0.5333641174437515,0.10580197744832827,9.270833333333334,2.531152356751056,3.6,0.8432740427115677
residuals,4.0,30,l2,10,0.6709448017114298,0.08367475058930217,0.5819562700895263,0.10430295339265104,7.783333333333333,2.3868531377599607,4.7,1.2516655570345727
no_jaccard,3.0,25,l2,window,0.6708559680789079,0.06397806437454623,0.5733619361578157,0.06596155671088616,9.304166666666667,2.4322652716864277,3.1,0.31622776601683794
r2_resid,6.0,30,l2,10,0.6700319302231337,0.07887807730730984,0.6412162413986484,0.08049139859528341,6.207142857142857,1.524640667015431,5.6,1.3498971154211057
fit_quality,6.0,15,l2,window,0.669293349002096,0.06869125706963523,0.6290586027660969,0.08131844124906709,6.428214285714286,1.655504196687732,5.6,0.699205898780101
residuals,8.0,20,l2,10,0.6680106548499821,0.09412477007420737,0.5430046430332977,0.11165865508120833,9.470833333333335,3.4773323507795135,4.1,1.100504934614612
importance,5.0,20,l2,10,0.6666922496130646,0.05769257566454903,0.5663749754166054,0.1256603658587024,8.304761904761905,2.989492495676856,5.0,0.9428090415820634
importance,4.0,15,l2,window,0.6661343205268997,0.09109531545191371,0.5595086410537993,0.11124051892829932,8.936666666666667,3.384836374767711,4.3,1.1595018087284057
